0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.73184	-9.41773	-9.10362	-8.78951	-8.4754	-8.16129	-7.84718	-8.54161	-9.23604	-9.93047	-10.6249	-11.3193	-12.0138	-12.0203	-12.0269	-12.0334	-12.0399	-12.0465	-12.053	-12.353	-12.653	-12.9531	-13.2531	-13.5531	-13.8531	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.1668	-5.96914	-5.77148	-5.57381	-5.37615	-5.17849	-4.98082	-5.71788	-6.45494	-7.19199	-7.92905	-8.6661	-9.40316	-9.47908	-9.55499	-9.63091	-9.70683	-9.78274	-9.85866	-10.2283	-10.5979	-10.9674	-11.337	-11.7066	-12.0762	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.60176	-2.52055	-2.43933	-2.35812	-2.2769	-2.19568	-2.11447	-2.89415	-3.67383	-4.45351	-5.23319	-6.01287	-6.79255	-6.93784	-7.08313	-7.22842	-7.37371	-7.519	-7.66429	-8.10347	-8.54266	-8.98184	-9.42103	-9.86021	-10.2994	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.963275	0.928044	0.892813	0.857582	0.822351	0.78712	0.751888	-0.0704159	-0.89272	-1.71502	-2.53733	-3.35963	-4.18194	-4.3966	-4.61126	-4.82592	-5.04059	-5.25525	-5.46991	-5.97869	-6.48746	-6.99624	-7.50501	-8.01379	-8.52256	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52831	4.37664	4.22496	4.07328	3.9216	3.76992	3.61824	2.75332	1.88839	1.02346	0.158531	-0.706397	-1.57133	-1.85536	-2.1394	-2.42343	-2.70746	-2.9915	-3.27553	-3.8539	-4.43227	-5.01063	-5.589	-6.16736	-6.74573	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.09335	7.82523	7.5571	7.28898	7.02085	6.75272	6.4846	5.57705	4.66949	3.76194	2.85439	1.94684	1.03929	0.685878	0.332471	-0.0209365	-0.374344	-0.727751	-1.08116	-1.72911	-2.37707	-3.02503	-3.67298	-4.32094	-4.96889	
2.20748	2.9636	3.71972	4.47584	5.23196	5.98808	6.7442	6.90582	7.06744	7.22906	7.39068	7.5523	7.71392	8.85937	10.0048	11.1503	12.2957	13.4412	14.5866	15.4535	16.3204	17.1873	18.0542	18.9211	19.788	19.8713	19.9545	20.0378	20.1211	20.2044	20.2877	20.0616	19.8355	19.6094	19.3834	19.1573	18.9312	18.7415	18.5518	18.3621	18.1724	17.9827	17.793	17.5207	17.2483	16.9759	16.7036	16.4312	16.1589	15.6921	15.2254	14.7587	14.292	13.8253	13.3585	12.7819	12.2052	11.6285	11.0519	10.4752	9.89854	9.19939	8.50023	7.80108	7.10193	6.40277	5.70362	5.64113	5.57864	5.51616	5.45367	5.39118	5.32869	5.37903	5.42937	5.47971	5.53005	5.58038	5.63072	6.09737	6.56401	7.03066	7.4973	7.96394	8.43059	9.16155	9.89252	10.6235	11.3544	12.0854	12.8164	13.1467	13.477	13.8073	14.1375	14.4678	14.7981	14.2748	13.7515	13.2283	12.705	12.1817	11.6584	11.2738	10.8892	10.5047	10.1201	9.73553	9.35095	8.40078	7.4506	6.50043	5.55025	4.60007	3.6499	3.22712	2.80434	2.38156	1.95878	1.536	1.11322	0.395671	-0.321875	-1.03942	-1.75697	-2.47451	-3.19206	
2.19798	2.94169	3.6854	4.42912	5.17283	5.91654	6.66025	6.93556	7.21087	7.48617	7.76148	8.03679	8.31209	9.35008	10.3881	11.4261	12.464	13.502	14.54	15.3026	16.0652	16.8278	17.5904	18.353	19.1156	19.1407	19.1658	19.1909	19.216	19.241	19.2661	19.1027	18.9392	18.7758	18.6123	18.4489	18.2855	18.0819	17.8783	17.6747	17.4711	17.2675	17.0639	16.8638	16.6637	16.4636	16.2635	16.0633	15.8632	15.4701	15.0771	14.684	14.2909	13.8978	13.5048	12.9958	12.4868	11.9779	11.4689	10.9599	10.451	9.74045	9.02991	8.31937	7.60883	6.89829	6.18776	6.2366	6.28544	6.33429	6.38313	6.43197	6.48082	6.46083	6.44084	6.42085	6.40086	6.38087	6.36088	6.73027	7.09967	7.46906	7.83846	8.20785	8.57724	9.19313	9.80902	10.4249	11.0408	11.6567	12.2726	12.553	12.8335	13.1139	13.3943	13.6748	13.9552	13.5147	13.0742	12.6337	12.1932	11.7526	11.3121	11.002	10.6918	10.3817	10.0715	9.7614	9.45126	8.5661	7.68095	6.79579	5.91063	5.02548	4.14032	3.72076	3.3012	2.88165	2.46209	2.04253	1.62298	0.830956	0.0389363	-0.753084	-1.5451	-2.33712	-3.12914	
2.18848	2.91978	3.65109	4.38239	5.1137	5.845	6.57631	6.9653	7.35429	7.74329	8.13228	8.52127	8.91026	9.84079	10.7713	11.7018	12.6324	13.5629	14.4934	15.1517	15.81	16.4683	17.1267	17.785	18.4433	18.4102	18.377	18.3439	18.3108	18.2777	18.2446	18.1438	18.0429	17.9421	17.8413	17.7405	17.6397	17.4223	17.2048	16.9873	16.7698	16.5524	16.3349	16.207	16.0791	15.9512	15.8233	15.6955	15.5676	15.2481	14.9287	14.6093	14.2898	13.9704	13.651	13.2097	12.7684	12.3272	11.8859	11.4447	11.0034	10.2815	9.55958	8.83766	8.11574	7.39381	6.67189	6.83207	6.99224	7.15242	7.31259	7.47277	7.63294	7.54262	7.45231	7.36199	7.27167	7.18135	7.09104	7.36318	7.63532	7.90747	8.17961	8.45176	8.7239	9.22471	9.72552	10.2263	10.7271	11.228	11.7288	11.9594	12.19	12.4206	12.6512	12.8818	13.1123	12.7546	12.3969	12.0391	11.6814	11.3236	10.9659	10.7302	10.4944	10.2587	10.023	9.78728	9.55157	8.73143	7.91129	7.09115	6.27102	5.45088	4.63074	4.21441	3.79807	3.38174	2.9654	2.54907	2.13274	1.26624	0.399748	-0.466747	-1.33324	-2.19974	-3.06623	
2.17898	2.89788	3.61678	4.33567	5.05457	5.77347	6.49236	6.99504	7.49772	8.0004	8.50308	9.00576	9.50844	10.3315	11.1546	11.9776	12.8007	13.6237	14.4468	15.0008	15.5549	16.1089	16.6629	17.2169	17.771	17.6796	17.5883	17.497	17.4057	17.3143	17.223	17.1848	17.1467	17.1085	17.0703	17.0322	16.994	16.7626	16.5313	16.2999	16.0685	15.8372	15.6058	15.5502	15.4945	15.4389	15.3832	15.3276	15.2719	15.0261	14.7803	14.5345	14.2888	14.043	13.7972	13.4236	13.0501	12.6765	12.303	11.9294	11.5559	10.8226	10.0893	9.35595	8.62264	7.88933	7.15603	7.42753	7.69904	7.97055	8.24205	8.51356	8.78507	8.62442	8.46378	8.30313	8.14248	7.98184	7.82119	7.99609	8.17098	8.34587	8.52077	8.69566	8.87055	9.25629	9.64203	10.0278	10.4135	10.7992	11.185	11.3657	11.5465	11.7272	11.908	12.0887	12.2695	11.9945	11.7195	11.4445	11.1696	10.8946	10.6196	10.4583	10.297	10.1357	9.97445	9.81316	9.65187	8.89675	8.14163	7.38652	6.6314	5.87628	5.12116	4.70805	4.29494	3.88183	3.46872	3.05561	2.6425	1.70153	0.760559	-0.180409	-1.12138	-2.06235	-3.00331	
