0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.3019	-9.80959	-9.31724	-8.82488	-8.33253	-7.84018	-7.34782	-7.64886	-7.94989	-8.25092	-8.55195	-8.85299	-9.15402	-9.58799	-10.022	-10.4559	-10.8899	-11.3239	-11.7579	-12.0786	-12.3993	-12.72	-13.0407	-13.3614	-13.6821	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.43985	-5.18197	-4.9241	-4.66622	-4.40835	-4.15047	-3.8926	-4.28119	-4.66978	-5.05837	-5.44696	-5.83555	-6.22414	-6.776	-7.32786	-7.87973	-8.43159	-8.98345	-9.53532	-9.89051	-10.2457	-10.6009	-10.9561	-11.3113	-11.6665	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.577754	-0.554357	-0.530961	-0.507564	-0.484168	-0.460771	-0.437375	-0.913521	-1.38967	-1.86581	-2.34196	-2.81811	-3.29425	-3.96401	-4.63376	-5.30352	-5.97327	-6.64302	-7.31278	-7.70245	-8.09212	-8.48179	-8.87146	-9.26113	-9.65079	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28434	4.07326	3.86218	3.6511	3.44001	3.22893	3.01785	2.45415	1.89044	1.32674	0.763036	0.199332	-0.364372	-1.15202	-1.93966	-2.72731	-3.51495	-4.3026	-5.09024	-5.51439	-5.93854	-6.36268	-6.78683	-7.21097	-7.63512	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.14644	8.70088	8.25532	7.80976	7.3642	6.91864	6.47308	5.82181	5.17055	4.51929	3.86803	3.21677	2.56551	1.65997	0.754438	-0.151098	-1.05663	-1.96217	-2.86771	-3.32633	-3.78495	-4.24358	-4.7022	-5.16082	-5.61945	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0085	13.3285	12.6485	11.9684	11.2884	10.6083	9.9283	9.18948	8.45066	7.71185	6.97303	6.23421	5.49539	4.47196	3.44854	2.42511	1.40168	0.378257	-0.64517	-1.13827	-1.63137	-2.12447	-2.61757	-3.11067	-3.60377	
5.71717	6.90805	8.09893	9.28981	10.4807	11.6716	12.8625	13.3403	13.8182	14.2961	14.7739	15.2518	15.7297	17.3253	18.9209	20.5165	22.1122	23.7078	25.3034	25.7278	26.1521	26.5765	27.0009	27.4252	27.8496	27.5826	27.3156	27.0486	26.7816	26.5146	26.2476	25.9492	25.6507	25.3523	25.0539	24.7554	24.457	24.3393	24.2216	24.1039	23.9862	23.8685	23.7507	23.8103	23.8699	23.9294	23.989	24.0485	24.1081	23.603	23.098	22.593	22.088	21.583	21.078	20.1127	19.1474	18.1821	17.2168	16.2515	15.2863	14.4468	13.6074	12.7679	11.9285	11.089	10.2496	10.1333	10.017	9.90071	9.78443	9.66815	9.55187	9.29935	9.04683	8.79431	8.54178	8.28926	8.03674	8.83945	9.64216	10.4449	11.2476	12.0503	12.853	14.0465	15.24	16.4335	17.627	18.8205	20.014	20.2817	20.5494	20.817	21.0847	21.3524	21.6201	21.1618	20.7036	20.2454	19.7871	19.3289	18.8706	17.9561	17.0416	16.1271	15.2126	14.298	13.3835	12.5571	11.7308	10.9044	10.078	9.25165	8.42527	7.28396	6.14264	5.00132	3.86	2.71868	1.57737	1.04979	0.522211	-0.00536623	-0.532944	-1.06052	-1.5881	
5.71888	6.84816	7.97743	9.1067	10.236	11.3652	12.4945	13.1842	13.8739	14.5636	15.2533	15.943	16.6327	17.9504	19.2681	20.5859	21.9036	23.2213	24.539	24.862	25.1851	25.5082	25.8312	26.1543	26.4773	26.2588	26.0403	25.8218	25.6033	25.3848	25.1663	24.8091	24.452	24.0948	23.7377	23.3805	23.0234	22.9925	22.9617	22.9308	22.8999	22.8691	22.8382	22.9663	23.0944	23.2225	23.3506	23.4787	23.6068	23.3503	23.0938	22.8374	22.5809	22.3244	22.068	21.0662	20.0644	19.0626	18.0608	17.059	16.0572	15.1773	14.2973	13.4173	12.5373	11.6573	10.7774	10.5781	10.3789	10.1796	9.98037	9.78112	9.58187	9.46435	9.34682	9.2293	9.11177	8.99425	8.87673	9.67674	10.4767	11.2768	12.0768	12.8768	13.6768	14.6677	15.6587	16.6496	17.6405	18.6314	19.6224	19.8958	20.1693	20.4428	20.7163	20.9897	21.2632	20.8638	20.4644	20.0649	19.6655	19.2661	18.8667	18.0455	17.2243	16.4031	15.5819	14.7607	13.9395	13.2157	12.4918	11.768	11.0442	10.3203	9.5965	8.49185	7.3872	6.28255	5.1779	4.07325	2.9686	2.45549	1.94237	1.42926	0.916144	0.403029	-0.110086	
5.72059	6.78826	7.85593	8.92359	9.99126	11.0589	12.1266	13.0281	13.9297	14.8312	15.7327	16.6342	17.5358	18.5756	19.6154	20.6552	21.695	22.7347	23.7745	23.9963	24.218	24.4398	24.6615	24.8833	25.105	24.935	24.765	24.595	24.425	24.255	24.0849	23.6691	23.2532	22.8374	22.4215	22.0056	21.5898	21.6458	21.7017	21.7577	21.8137	21.8697	21.9257	22.1223	22.3189	22.5156	22.7122	22.9088	23.1055	23.0976	23.0896	23.0817	23.0738	23.0659	23.058	22.0197	20.9814	19.9431	18.9048	17.8665	16.8282	15.9077	14.9872	14.0667	13.1462	12.2257	11.3052	11.023	10.7407	10.4585	10.1763	9.89409	9.61187	9.62935	9.64682	9.66429	9.68176	9.69924	9.71671	10.514	11.3113	12.1087	12.906	13.7033	14.5006	15.289	16.0773	16.8657	17.654	18.4424	19.2307	19.51	19.7893	20.0685	20.3478	20.627	20.9063	20.5657	20.2251	19.8845	19.5439	19.2033	18.8627	18.1348	17.407	16.6791	15.9512	15.2234	14.4955	13.8742	13.2529	12.6316	12.0103	11.389	10.7677	9.69974	8.63176	7.56378	6.4958	5.42782	4.35984	3.86119	3.36254	2.86388	2.36523	1.86658	1.36793	
5.7223	6.72836	7.73442	8.74048	9.74654	10.7526	11.7587	12.872	13.9854	15.0987	16.2121	17.3255	18.4388	19.2007	19.9626	20.7245	21.4863	22.2482	23.0101	23.1305	23.251	23.3714	23.4919	23.6123	23.7328	23.6112	23.4897	23.3682	23.2467	23.1251	23.0036	22.529	22.0545	21.5799	21.1053	20.6308	20.1562	20.299	20.4418	20.5847	20.7275	20.8703	21.0131	21.2783	21.5435	21.8087	22.0738	22.339	22.6042	22.8448	23.0855	23.3261	23.5667	23.8074	24.048	22.9732	21.8984	20.8236	19.7488	18.674	17.5992	16.6381	15.6771	14.7161	13.755	12.794	11.833	11.4678	11.1026	10.7374	10.3722	10.0071	9.64188	9.79435	9.94682	10.0993	10.2518	10.4042	10.5567	11.3513	12.1459	12.9405	13.7352	14.5298	15.3244	15.9102	16.496	17.0818	17.6675	18.2533	18.8391	19.1242	19.4092	19.6943	19.9793	20.2644	20.5494	20.2676	19.9859	19.7041	19.4223	19.1405	18.8588	18.2242	17.5897	16.9551	16.3206	15.686	15.0515	14.5327	14.014	13.4952	12.9765	12.4577	11.9389	10.9076	9.87633	8.84502	7.8137	6.78239	5.75108	5.26689	4.7827	4.29851	3.81432	3.33013	2.84594	
